Date,High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz)
11/09/2019 00:00,39928.4,38153.16,38641.62,,1241.91,1186.7,1201.89
12/08/2019 00:00,41227.49,38624.28,38690.25,,1282.32,1201.35,1203.4
13/07/2019 00:00,40157.71,36074.68,40156.8,,1249.04,1122.05,1249.02
13/06/2019 00:00,36658.76,33751.91,36198.84,,1140.21,1049.8,1125.91
14/05/2019 00:00,33990.45,31983.17,33781.87,,1057.22,994.79,1050.73
14/04/2019 00:00,32306.92,31206.33,32284.49,,1004.86,970.63,1004.16
15/03/2019 00:00,32298.47,31397.71,31747.56,,1004.59,976.58,987.46
13/02/2019 00:00,33223.89,31226.4,31432.99,,1033.38,971.25,977.68
14/01/2019 00:00,32873.24,31369.31,32680.43,,1022.47,975.69,1016.47
15/12/2018 00:00,33191.91,31526.34,32234.2,,1032.38,980.58,1002.6
15/11/2018 00:00,32035.6,29903,31644.44,,996.42,930.09,984.25
16/10/2018 00:00,31184.45,29649.4,29986.97,,969.94,922.2,932.7
16/09/2018 00:00,30163.54,28892.5,29987.79,,938.19,898.66,932.72
17/08/2018 00:00,30270.99,29349.07,29377.24,,941.53,912.86,913.73
18/07/2018 00:00,30683.37,29411.07,29724.03,,954.36,914.79,924.52
18/06/2018 00:00,31257.06,29946.13,30108.4,,972.2,931.43,936.48
19/05/2018 00:00,31805.06,30722.98,31025.99,,989.25,955.59,965.02
19/04/2018 00:00,31484.06,30355.31,30874.74,,979.26,944.16,960.31
20/03/2018 00:00,30896.3,30022.57,30576.21,,960.98,933.81,951.03
18/02/2018 00:00,31024.05,29954.77,30195.41,,964.96,931.7,939.18
19/01/2018 00:00,31150.32,30053.11,30876.41,,968.88,934.76,960.36
20/12/2017 00:00,31568.79,30282.01,30731.56,,981.9,941.88,955.86
20/11/2017 00:00,31518.11,29688.23,30308.82,,980.32,923.41,942.71
21/10/2017 00:00,31583.23,30700.13,31507.7,,982.35,954.88,980
21/09/2017 00:00,31739.2,30558.18,31208.89,,987.2,950.47,970.7
22/08/2017 00:00,33280.07,30931.31,30954.26,,1035.13,962.07,962.79
23/07/2017 00:00,32458.38,30595.36,32198.86,,1009.57,951.62,1001.5
23/06/2017 00:00,31807.82,30047.31,31043.64,,989.33,934.58,965.57
24/05/2017 00:00,32407.54,30985.88,31735.75,,1007.99,963.77,987.09
24/04/2017 00:00,32152.7,30197.79,31045.35,,1000.06,939.26,965.62
25/03/2017 00:00,33240.43,31761.43,31947.79,,1033.89,987.89,993.69
23/02/2017 00:00,32717.59,31560.29,32055.8,,1017.63,981.63,997.05
24/01/2017 00:00,32248.44,30250.56,31937.55,,1003.04,940.9,993.37
25/12/2016 00:00,31673.5,30648.28,31275.72,,985.16,953.27,972.78
25/11/2016 00:00,30965.13,28978.63,30648.28,,963.12,901.34,953.27
